02/06/15 00:47:50 EST,20.9,69.6
02/06/15 00:47:55 EST,20.9,69.6
02/06/15 00:48:01 EST,20.9,69.6
02/06/15 00:48:07 EST,20.9,69.6
02/06/15 00:48:13 EST,20.9,69.6
02/06/15 00:48:19 EST,20.9,69.6
02/06/15 00:48:25 EST,20.9,69.6
02/06/15 00:48:30 EST,20.9,69.6
02/06/15 00:48:36 EST,20.9,69.6
02/06/15 00:48:42 EST,20.9,69.6
02/06/15 00:48:48 EST,20.9,69.6
02/06/15 00:48:54 EST,20.9,69.6
02/06/15 00:49:00 EST,20.9,69.6
02/06/15 00:49:05 EST,20.9,69.6
02/06/15 00:49:11 EST,20.9,69.6
02/06/15 00:49:17 EST,20.9,69.6
02/06/15 00:49:23 EST,20.9,69.6
02/06/15 00:49:29 EST,20.9,69.6
02/06/15 00:49:35 EST,20.9,69.6
02/06/15 00:49:40 EST,20.9,69.6
